mean,std,rms,ptp,label

1.00000,0.00000,1.00000,0.00000,0
0.94320,0.09348,0.94782,0.31233,0
0.48424,0.11070,0.49673,0.40904,0
0.32631,0.04274,0.32910,0.18974,0
0.66444,0.14129,0.67930,0.51136,0
0.99725,0.01104,0.99731,0.07228,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.99739,0.01103,0.99746,0.09133,0
0.64271,0.15620,0.66142,0.58901,0
0.16125,0.09185,0.18558,0.32967,0
0.20342,0.10714,0.22991,0.38242,0
0.66937,0.14739,0.68541,0.57802,0
0.99688,0.01284,0.99697,0.09109,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.98225,0.03964,0.98305,0.17949,0
0.54930,0.15848,0.57170,0.61123,0
0.15192,0.06073,0.16361,0.25983,0
0.19315,0.08931,0.21280,0.33407,0
0.56961,0.11918,0.58194,0.41807,0
0.95403,0.07172,0.95672,0.22759,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.95962,0.07170,0.96230,0.25006,0
0.49452,0.15471,0.51815,0.54652,0
0.96566,0.06327,0.96773,0.21001,0
0.56369,0.12769,0.57797,0.46691,0
0.16669,0.09557,0.19215,0.34042,0
0.00738,0.01182,0.01394,0.04957,0
0.00028,0.00156,0.00159,0.01685,0
0.04233,0.04767,0.06375,0.16410,0
0.39020,0.14442,0.41607,0.49573,0
0.70631,0.04437,0.70770,0.19170,0
0.72123,0.06721,0.72435,0.26129,0
0.34024,0.12886,0.36383,0.47595,0
0.01784,0.03207,0.03670,0.13675,0
0.00430,0.01283,0.01353,0.07399,0
0.27332,0.12732,0.30152,0.43663,0
0.64023,0.06157,0.64319,0.25690,0
0.58999,0.08866,0.59661,0.32650,0
0.17966,0.12623,0.21958,0.42662,0
0.00000,0.00000,0.00000,0.00000,0
0.03783,0.05670,0.06816,0.20269,0
0.37798,0.10791,0.39309,0.38755,0
0.61785,0.05231,0.62006,0.23614,0
0.82936,0.04943,0.83084,0.21392,0
0.76070,0.08916,0.76590,0.33578,0
0.42572,0.11066,0.43986,0.39096,0
0.20257,0.01990,0.20354,0.09573,0
0.19302,0.00916,0.19324,0.05470,0
0.24459,0.06057,0.25198,0.22613,0
0.52422,0.06683,0.52846,0.24347,0
0.48246,0.10354,0.49345,0.37998,0
0.06707,0.08529,0.10850,0.26960,0
0.00000,0.00000,0.00000,0.00000,0
0.60324,0.12435,0.61592,0.46398,0
0.95496,0.06458,0.95714,0.22247,0
1.00000,0.00000,1.00000,0.00000,0
0.95720,0.06653,0.95951,0.21416,0
0.58134,0.12205,0.59401,0.44860,0
0.12780,0.12029,0.17551,0.35775,0
0.00000,0.00000,0.00000,0.00000,0
0.07565,0.08595,0.11450,0.28523,0
0.52986,0.15164,0.55113,0.56557,0
0.96594,0.06157,0.96790,0.24493,0
1.00000,0.00000,1.00000,0.00000,0
0.99999,0.00000,0.99999,0.00220,0
0.74932,0.13984,0.76226,0.48034,0
0.24918,0.16070,0.29651,0.53529,0
0.00000,0.00000,0.00000,0.00000,0
0.01351,0.02872,0.03174,0.10598,0
0.37324,0.15543,0.40431,0.55336,0
0.87799,0.12166,0.88638,0.37509,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.98354,0.03862,0.98430,0.17289,0
0.63638,0.11411,0.64653,0.44737,0
0.33674,0.04019,0.33913,0.16630,0
0.51690,0.12147,0.53098,0.46618,0
0.95982,0.07114,0.96245,0.24127,0
1.00000,0.00000,1.00000,0.00000,0
0.92056,0.09902,0.92587,0.28840,0
1.00000,0.00000,1.00000,0.00000,0
0.91393,0.11541,0.92118,0.33944,0
0.51859,0.06265,0.52236,0.27595,0
0.74891,0.16541,0.76696,0.50623,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.89479,0.13122,0.90436,0.37949,0
0.56227,0.03672,0.56347,0.17851,0
0.81080,0.14795,0.82419,0.43346,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.65928,0.21489,0.69342,0.68352,0
0.18274,0.06794,0.19496,0.26227,0
0.12556,0.01136,0.12607,0.06374,0
0.15816,0.01343,0.15872,0.07082,0
0.14568,0.02776,0.14830,0.12576,0
0.19504,0.09358,0.21632,0.31575,0
0.71565,0.19257,0.74110,0.59365,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
1.00000,0.00000,1.00000,0.00000,0
0.94572,0.08591,0.94962,0.29597,0
0.45263,0.16435,0.48154,0.57118,0
0.14053,0.01997,0.14194,0.10403,0
0.28275,0.10954,0.30323,0.37338,0
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
0.95453,0.07190,0.95724,0.22466,1
0.57799,0.10163,0.58686,0.38022,1
0.28254,0.06960,0.29099,0.25910,1
0.15049,0.01506,0.15124,0.07668,1
0.16834,0.02970,0.17094,0.11575,1
0.38025,0.09631,0.39225,0.36948,1
0.76253,0.12529,0.77275,0.44737,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
0.91186,0.10791,0.91822,0.31673,1
0.55261,0.06417,0.55632,0.24982,1
0.51202,0.04209,0.51375,0.17778,1
0.79941,0.13043,0.80998,0.41783,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
0.98736,0.03262,0.98790,0.16459,1
0.71170,0.21039,0.74215,0.57411,1
0.97334,0.05931,0.97515,0.23492,1
0.52370,0.10846,0.53482,0.38779,1
0.77566,0.21117,0.80390,0.59170,1
0.98707,0.03956,0.98787,0.18413,1
0.54262,0.10625,0.55293,0.39878,1
0.82309,0.19631,0.84617,0.56557,1
1.00000,0.00000,1.00000,0.00000,1
0.81390,0.14416,0.82657,0.38901,1
0.86143,0.14756,0.87398,0.38706,1
1.00000,0.00000,1.00000,0.00000,1
0.78285,0.16460,0.79997,0.46471,1
0.76340,0.17902,0.78411,0.48034,1
1.00000,0.00000,1.00000,0.00000,1
0.61419,0.15754,0.63408,0.54676,1
0.83960,0.17555,0.85776,0.49084,1
1.00000,0.00000,1.00000,0.00000,1
0.60394,0.15984,0.62473,0.59389,1
0.65899,0.19681,0.68776,0.59219,1
1.00000,0.00000,1.00000,0.00000,1
1.00000,0.00000,1.00000,0.00000,1
0.91002,0.11663,0.91746,0.32821,1
0.69555,0.08503,0.70073,0.32991,1
0.99241,0.02185,0.99265,0.11770,1
1.00000,0.00000,1.00000,0.00000,1
0.84069,0.14077,0.85239,0.41636,1
0.41445,0.08728,0.42354,0.30696,1
0.50075,0.12028,0.51500,0.42173,1